Language,Taxon,Glottocode,Family,Clade,Classification,Latitude,Longitude
awara,awara_mv70,awar1248,Nuclear Trans New Guinea,TNG.FH.Finisterre,nucl1709/fini1244/fini1245/want1251/want1253,-6.16986,146.372
awera,awera_c97,awer1241,Lakes Plain,Lakes Plain,lake1255/farw1236,-2.71886,136.063
awiyaana,awiyaana_s78,awiy1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/auya1234,-6.54079,145.76
awtuw,awtuw_l68,awtu1239,Sepik,Sepik,sepi1257/ramm1241,-3.53129,141.928
awtuw,awtuw_f2005,awtu1239,Sepik,Sepik,sepi1257/ramm1241,-3.53129,141.928
awyi,awyi_v75,awyi1241,Border,Border,bord1247/taik1254,-3.00564,140.604
awyi,awyi_v71,awyi1241,Border,Border,bord1247/taik1254,-3.00564,140.604
awyu-asue,awyu-asue_h70,asue1235,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-5.98341,139.123
awyu-asue,awyu-asue_mv70,asue1235,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-5.98341,139.123
awyu-asue,awyu-asue_v75,asue1235,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-5.98341,139.123
awyu-central-busiri,awyu-central-busiri_kl2010,cent2118,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.29363,139.693
awyu-central-ketah,awyu-central-ketah_kl2010,cent2118,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.29363,139.693
awyu-central-nohon,awyu-central-nohon_kl2010,cent2118,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.29363,139.693
awyu-central-taim,awyu-central-taim_kl2010,cent2118,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.29363,139.693
awyu-south,awyu-south_mv70,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
awyu-south,awyu-south_v75,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
awyu-south,awyu-south_v00,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
awyu-south,awyu-south_h70,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
