344 ('anjam_zgraggen-1980-raicoast', '1482_SHOULDER') 2
345 ('anjam_zgraggen-1980-raicoast', '1592_CHEST') 2
346 ('anjam_zgraggen-1980-raicoast', '1857_CROCODILE') 2
347 ('anjam_zgraggen-1980-raicoast', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
348 ('anjam_zgraggen-1980-raicoast', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
349 ('anjam_zgraggen-1980-raicoast', '2708_TALK') 3
350 ('anjam_zgraggen-1980-raicoast', '351_TARO') 2
351 ('anjam_zgraggen-1980-raicoast', '503_FROG') 2
352 ('anjam_zgraggen-1980-raicoast', '700_CARRY') 2
353 ('anjam_zgraggen-1980-raicoast', '725_OLD_PERSON') 2
354 ('anjam_zgraggen-1980-raicoast', '908_DRUM') 3
355 ('anjam_zgraggen-1980-raicoast', '970_COCONUT') 3
356 ('anjam_zgraggen-1980-raicoast', '981_ELBOW') 2
357 ('ankave_lloyd-1973', '156_RED') 2
358 ('ankave_lloyd-1973', '2638_FISHING') 2
359 ('ankave_lloyd-1973', '670_ROOT') 2
360 ('ansus_voorhoeve-1975', '906_TREE') 2
361 ('ap-ma-kambaramba_abbott1985', '1336_EAT') 2
362 ('ap-ma-kambaramba_abbott1985', '1403_BITE') 3
363 ('ap-ma-kambaramba_abbott1985', '1433_HIT') 2
364 ('ap-ma_sil-1975k', '1035_GOOD') 2
365 ('ap-ma_sil-1975k', '1209_I') 2
366 ('ap-ma_sil-1975k', '1401_DRINK') 2
367 ('ap-ma_sil-1975k', '1439_SWIM') 2
368 ('ap-ma_sil-1975k', '1493_ONE') 2
369 ('ap-ma_sil-1975k', '1519_RUN') 2
370 ('ap-ma_sil-1975k', '1554_MAN') 2
371 ('ap-ma_sil-1975k', '156_RED') 2
372 ('ap-ma_sil-1975k', '503_FROG') 2
373 ('ap-ma_sil-1975k', '671_SAND') 2
374 ('apali_zgraggen-1980-sadelbert', '1035_GOOD') 2
375 ('apali_zgraggen-1980-sadelbert', '1220_TAIL') 3
376 ('apali_zgraggen-1980-sadelbert', '1268_YES') 2
377 ('apali_zgraggen-1980-sadelbert', '1313_MOON') 2
378 ('apali_zgraggen-1980-sadelbert', '1335_WHITE') 2
379 ('apali_zgraggen-1980-sadelbert', '1352_KNIFE') 2
380 ('apali_zgraggen-1980-sadelbert', '1408_HEAR') 2
381 ('apali_zgraggen-1980-sadelbert', '1442_STAND') 2
382 ('apali_zgraggen-1980-sadelbert', '1443_WALK') 2
383 ('apali_zgraggen-1980-sadelbert', '146_SUGAR_CANE') 4
384 ('apali_zgraggen-1980-sadelbert', '156_RED') 2
385 ('apali_zgraggen-1980-sadelbert', '1592_CHEST') 2
386 ('apali_zgraggen-1980-sadelbert', '1726_WET') 2
387 ('apali_zgraggen-1980-sadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
388 ('apali_zgraggen-1980-sadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
389 ('apali_zgraggen-1980-sadelbert', '2638_FISHING') 2
390 ('apali_zgraggen-1980-sadelbert', '2708_TALK') 2
391 ('apali_zgraggen-1980-sadelbert', '343_VINE') 2
392 ('apali_zgraggen-1980-sadelbert', '351_TARO') 2
393 ('apali_zgraggen-1980-sadelbert', '700_CARRY') 2
394 ('apali_zgraggen-1980-sadelbert', '725_OLD_PERSON') 2
395 ('apali_zgraggen-1980-sadelbert', '730_SNAKE') 2
396 ('apali_zgraggen-1980-sadelbert', '744_EGG') 2
397 ('apali_zgraggen-1980-sadelbert', '778_SMOKE_EXHAUST') 2
398 ('apali_zgraggen-1980-sadelbert', '834_BUTTOCKS') 2
399 ('apali_zgraggen-1980-sadelbert', '857_STONE') 2
400 ('apali_zgraggen-1980-sadelbert', '908_DRUM') 2
401 ('apali_zgraggen-1980-sadelbert', '962_WOMAN') 2
402 ('apali_zgraggen-1980-sadelbert', '970_COCONUT') 2
403 ('aramo_davies_and_comrie1985', '1205_TONGUE') 2
404 ('arandai-barau_voorhoeve-1985', '1198_MANY') 2
405 ('arandai-barau_voorhoeve-1985', '1371_KNEE') 2
406 ('arandai-barau_voorhoeve-1985', '1442_STAND') 2
407 ('arandai-barau_voorhoeve-1985', '1839_CRY') 2
408 ('arandai-barau_voorhoeve-1985', '492_THREE') 2
409 ('arandai-barau_voorhoeve-1985', '639_MOUNTAIN') 2
410 ('arandai-barau_voorhoeve-1985', '670_ROOT') 2
411 ('arandai-barau_voorhoeve-1985', '725_OLD_PERSON') 2
412 ('arandai-barau_voorhoeve-1985', '730_SNAKE') 2
413 ('arandai-barau_voorhoeve-1985', '906_TREE') 2
414 ('arandai-barau_voorhoeve-1985', '960_WIND') 2
415 ('arandai-kasuwer_voorhoeve-1985', '1198_MANY') 2
416 ('arandai-kasuwer_voorhoeve-1985', '1335_WHITE') 2
417 ('arandai-kasuwer_voorhoeve-1985', '1343_SUN') 2
418 ('arandai-kasuwer_voorhoeve-1985', '1554_MAN') 2
419 ('arandai-kasuwer_voorhoeve-1985', '156_RED') 2
420 ('arandai-kasuwer_voorhoeve-1985', '1585_SLEEP') 2
421 ('arandai-kasuwer_voorhoeve-1985', '1786_DRY_UP') 2
422 ('arandai-kasuwer_voorhoeve-1985', '221_FIRE') 2
423 ('arandai-kasuwer_voorhoeve-1985', '628_LEAF') 2
424 ('arandai-kasuwer_voorhoeve-1985', '670_ROOT') 2
425 ('arandai-kasuwer_voorhoeve-1985', '671_SAND') 2
426 ('arandai-kasuwer_voorhoeve-1985', '730_SNAKE') 2
427 ('arandai-kasuwer_voorhoeve-1985', '906_TREE') 2
428 ('arandai-sebyar_voorhoeve-1985', '1252_HOUSE') 2
429 ('arandai-sebyar_voorhoeve-1985', '1269_NO') 2
430 ('arandai-sebyar_voorhoeve-1985', '1287_COLD') 2
431 ('arandai-sebyar_voorhoeve-1985', '1336_EAT') 2
432 ('arandai-sebyar_voorhoeve-1985', '189_HAIR_BODY') 2
433 ('arandai-tarof_voorhoeve-1985', '671_SAND') 2
