Concept,Count,Swadesh
1634_HUNDRED,51,
2259_FLESH,50,
458_DEAF_PERSON,50,
2309_LIVE,50,Swadesh200
112_TURTLE,49,
1102_CLIMB,49,
1836_VAGINA,49,
1261_SING,49,Swadesh200
2183_RIGHT_HAND,49,Swadesh200
1653_BLIND,48,
487_SHY,48,
1485_BELOW_OR_UNDER,46,
2497_RATTAN,46,
1383_GRANDFATHER,46,
1413_PLAY,46,Swadesh200
1468_LOOK_FOR,46,
1178_NOSTRIL,45,
2_DUST,45,Swadesh200
1843_THOUSAND,45,
1683_BUSH,44,
1363_VOICE,44,
622_ISLAND,44,
1742_siblingoppositesex,44,
1407_BREATHE,44,Swadesh200
2106_theirspronounp3p,44,
1013_FRESHWATER_EEL,43,
843_SPIDER,42,
10_FIREWOOD,42,
893_topoffoot,42,
1895_CLOTHES,41,
980_HEEL,41,
1665_BEAT,41,
195_MAT,40,
1260_DAY_24_HOURS,40,Swadesh200
1208_CAT,39,
2468_BAG,38,
2314_BROTHER-IN-LAW,38,
1306_iseethesnake,38,
2103_PAINFUL_OR_SICK,38,
1496_GRANDMOTHER,37,
2504_DIFFERENT,37,
1307_thesnakeseesme,37,
125_SWEAT_SUBSTANCE,36,
3012_BANDICOOT,36,
3260_HORNBILL,35,
12_MIDDAY,35,
2674_ORAL_CAVITY,35,
1302_twohundred,35,
1239_HOW,35,Swadesh200
1208_cuscus,34,
801_RIB,34,
640_MUD,34,
3030_LONTAR_PALM,34,
1629_EVENING,34,
945_shinbone,33,
1735_TEAR_SHRED,33,
1935_ANUS,32,
176_BLOW_WITH_MOUTH,32,
1974_CENTIPEDE,32,
1760_YOUNGER_BROTHER,32,
539_NEST,32,
580_FUR,32,
2088_yourtwoplpronounp2pdual,32,
1786_windcold,31,
1188_CHARCOAL,31,
1911_DRAW_WATER,31,
164_KANGAROO,31,
713_STEAL,31,
479_GROW,30,
2372_SAGO_PALM,30,
388_FISHNET,30,
2666_SOLE_FOOT,30,
1883_IN_FRONT_OF,30,
2085_ustwopronouno1pdual,30,
889_FLAME,29,
1763_CLUB,29,
2115_CEASE_OR_FINISH,28,
626_LAND,28,
3269_PORCH,28,
1156_OPEN,28,
321_CHEW,28,
2317_SISTER-IN-LAW,27,
1206_cockatoo,27,
2225_ironwood,27,
47_EXCRETA,27,
1129_PAINFUL,27,
491_CENTER,27,
238_PRAWNS,27,
866_WIN,27,
477_LATE,27,
1183_PALM_OF_HAND,27,
1661_houseofwoman,27,
1761_YOUNGER_SISTER,26,
2197_lowerback,26,
2003_FLOW,26,Swadesh200
749_ENTER,26,
1272_AUNT,26,
1856_SOFT,25,
2673_BIRD_OF_PARADISE,25,
1620_SON,25,
789_PEOPLE,25,
1175_GHOST,24,
1884_HARD,24,
2802_SAGO_GRUB,24,
1517_WASP,24,
1790_youngerlastborn,24,
1733_RAINBOW,24,
6_EARTHQUAKE,24,
1461_AT,24,Swadesh200
