376 ('anamgura_zgraggen-1980-sadelbert', '1624_EMPTY') 2
377 ('anamgura_zgraggen-1980-sadelbert', '165_WALLABY') 2
378 ('anamgura_zgraggen-1980-sadelbert', '1829_JUMP') 2
379 ('anamgura_zgraggen-1980-sadelbert', '1882_BEFORE') 2
380 ('anamgura_zgraggen-1980-sadelbert', '2075_possessivemarker') 2
381 ('anamgura_zgraggen-1980-sadelbert', '2089_ourtwopronounp1pdual') 2
382 ('anamgura_zgraggen-1980-sadelbert', '2090_MY') 2
383 ('anamgura_zgraggen-1980-sadelbert', '2092_HIS_OR_HER') 2
384 ('anamgura_zgraggen-1980-sadelbert', '2095_arrowbarredarrowwithcrossbar') 3
385 ('anamgura_zgraggen-1980-sadelbert', '2193_meatgame') 2
386 ('anamgura_zgraggen-1980-sadelbert', '2274_YOUR_PLURAL') 2
387 ('anamgura_zgraggen-1980-sadelbert', '2304_THEE_OBLIQUE_CASE_OF_YOU') 2
388 ('anamgura_zgraggen-1980-sadelbert', '2312_YOU_OBLIQUE_CASE_OF_YOU') 2
389 ('anamgura_zgraggen-1980-sadelbert', '2378_THUNDER_VERB') 2
390 ('anamgura_zgraggen-1980-sadelbert', '241_TREE_STUMP') 2
391 ('anamgura_zgraggen-1980-sadelbert', '2506_thislohap') 2
392 ('anamgura_zgraggen-1980-sadelbert', '2507_therelohap') 2
393 ('anamgura_zgraggen-1980-sadelbert', '2509_yamtaitu') 2
394 ('anamgura_zgraggen-1980-sadelbert', '2510_tofallfromstanding') 2
395 ('anamgura_zgraggen-1980-sadelbert', '2708_TALK') 2
396 ('anamgura_zgraggen-1980-sadelbert', '351_TARO') 2
397 ('anamgura_zgraggen-1980-sadelbert', '639_MOUNTAIN') 2
398 ('anamgura_zgraggen-1980-sadelbert', '646_ASH') 2
399 ('anamgura_zgraggen-1980-sadelbert', '700_CARRY') 2
400 ('anamgura_zgraggen-1980-sadelbert', '725_OLD_PERSON') 2
401 ('anamgura_zgraggen-1980-sadelbert', '732_YOUR_SINGULAR') 2
402 ('anamgura_zgraggen-1980-sadelbert', '776_TRUNK_OF_TREE') 2
403 ('anamgura_zgraggen-1980-sadelbert', '805_tocallout') 2
404 ('anamgura_zgraggen-1980-sadelbert', '867_backofhand') 2
405 ('anamgura_zgraggen-1980-sadelbert', '908_DRUM') 2
406 ('anamgura_zgraggen-1980-sadelbert', '970_COCONUT') 2
407 ('angaataha_lloyd-1973', '1240_NOT') 2
408 ('angaataha_lloyd-1973', '744_EGG') 2
409 ('angal_franklin1975', '1394_BONE') 2
410 ('angoram-kambrindo_abbott1985', '1403_BITE') 3
411 ('angoram-kambrindo_abbott1985', '1405_NAME') 2
412 ('angoram-kambrindo_abbott1985', '1433_HIT') 2
413 ('angoram-kambrindo_abbott1985', '1585_SLEEP') 2
414 ('angoram-kambrindo_abbott1985', '907_OLD_WOMAN') 2
415 ('angoram-kanduanum_abbott1985', '1289_BABY') 2
416 ('angoram-karau_abbott1985', '1585_SLEEP') 2
417 ('angoram-marbuk_abbott1985', '1289_BABY') 2
